"";"Year";"Square";"Number";"SpitNum";"SpitID";"Assemblage";"X";"Y";"Z";"Code";"Orientation";"Dip"
"997";2013;"J52";"318";"11";"J52A_11";"SUP";99,484;101,676;-0,733;"FAUNA";NA;NA
"998";2013;"J52";"319";"11";"J52A_11";"SUP";99,462;101,653;-0,737;"FAUNA";NA;NA
"999";2013;"J52";"320";"11";"J52B_11";"SUP";99,589;101,59;-0,75;"FAUNA";NA;NA
"1000";2013;"J52";"321";"11";"J52B_11";"SUP";99,637;101,788;-0,736;"FAUNA";NA;NA
"1001";2013;"J52";"322";"11";"J52B_11";"SUP";99,68;101,888;-0,771;"FAUNA";NA;NA
"1002";2013;"J52";"323";"11";"J52B_11";"SUP";99,724;101,99;-0,729;"FAUNA";NA;NA
"1003";2013;"J52";"324";"11";"J52B_11";"SUP";99,718;101,824;-0,756;"FAUNA";NA;NA
"1004";2013;"J52";"325";"11";"J52B_11";"SUP";99,761;101,79;-0,768;"FAUNA";NA;NA
"1005";2013;"J52";"326";"11";"J52B_11";"SUP";99,722;101,542;-0,762;"FAUNA";NA;NA
"1006";2013;"J52";"327";"11";"J52B_11";"SUP";99,918;101,611;-0,747;"FAUNA";NA;NA
"1007";2013;"J52";"328";"11";"J52B_11";"SUP";99,594;101,597;-0,75;"FAUNA";NA;NA
"1008";2013;"J52";"329";"11";"J52B_11";"SUP";99,614;101,802;-0,752;"FAUNA";NA;NA
"1009";2013;"J52";"331";"11";"J52B_11";"SUP";99,517;101,825;-0,738;"FAUNA";NA;NA
"1010";2013;"J52";"332";"11";"J52A_11";"SUP";99,462;101,709;-0,728;"FAUNA";NA;NA
"1011";2013;"J52";"333";"11";"J52A_11";"SUP";99,421;101,735;-0,712;"FAUNA";NA;NA
"1012";2013;"J52";"334";"11";"J52C_11";"SUP";99,147;101,232;-0,743;"FAUNA";NA;NA
"1013";2013;"J52";"335";"11";"J52C_11";"SUP";99,495;101,23;-0,74;"FAUNA";NA;NA
"1014";2013;"J52";"337";"11";"J52B_11";"SUP";99,607;101,614;-0,763;"SILEX";NA;NA
"1015";2013;"J52";"338";"11";"J52B_11";"SUP";99,593;101,73;-0,752;"FAUNA";NA;NA
"1016";2013;"J52";"339";"11";"J52B_11";"SUP";99,73;101,907;-0,747;"FAUNA";NA;NA
"1017";2013;"J52";"340";"12";"J52D_12";"SUP";99,995;101,451;-0,747;"FAUNA";NA;NA
